district,fiscal_year,check,name,car,audited,gap,gap_pct,flag
Iowa City CSD,2020,C18_fb_pct_exp,Fund balance % of expenditure,6.48,6.49,-0.01,,
Iowa City CSD,2020,C6_rollforward,CAR begin = prior CAR end,14886751.03,14886751.03,0.0,0.0,
Iowa City CSD,2021,C1_ending,Ending GF fund balance,15726539.3,15890150.0,-163610.7,-1.03,
Iowa City CSD,2021,C10_revenue,GF revenue,190288333.98,190498914.0,-210580.02,-0.11,
Iowa City CSD,2021,C11_expenditure,GF expenditure,185798102.07,184984176.0,813926.07,0.44,
Iowa City CSD,2021,C13_margin,Operating margin %,2.36,2.89,-0.53,,
Iowa City CSD,2021,C18_fb_pct_exp,Fund balance % of expenditure,8.46,8.59,-0.13,,
Iowa City CSD,2021,C6_rollforward,CAR begin = prior CAR end,11236307.39,11236307.39,0.0,0.0,
Iowa City CSD,2021,C7_begin_vs_audit,CAR begin vs prior audited end,11236307.39,11240140.0,-3832.61,-0.03,
Iowa City CSD,2021,C8_net_change,Net change in fund balance,4490231.91,4650010.0,-159778.09,-3.44,
Iowa City CSD,2022,C1_ending,Ending GF fund balance,9956089.44,10063054.0,-106964.56,-1.06,
Iowa City CSD,2022,C10_revenue,GF revenue,196665094.24,196760462.0,-95367.76,-0.05,
Iowa City CSD,2022,C11_expenditure,GF expenditure,202435544.1,202187558.0,247986.1,0.12,
Iowa City CSD,2022,C13_margin,Operating margin %,-2.93,-2.76,-0.17,,
Iowa City CSD,2022,C18_fb_pct_exp,Fund balance % of expenditure,4.92,4.98,-0.06,,
